trial_id,condition,modality,hand,site,p2_latency_ms,p2_amp_uv,p2_reason,p3_latency_ms,p3_amp_uv,p3_reason,cnv_mean_uv,cnv_slope_uv_per_s,cnv_onset_s
0,trial,V,left,O1+O2,158.0,1.341681634738579,,422.0,3.868575378090858,,-0.06649284217529834,3.2990553271634573,
1,trial,V,left,O1+O2,198.0,9.369626072011007,,584.0,9.708734115080961,,-1.9975454639569292,1.8736081356390821,0.418
6,trial,V,left,O1+O2,178.0,-1.1520156646506274,,570.0,1.9652870667062041,,3.6871412667731827,-5.584275176810987,
7,trial,V,left,O1+O2,152.0,5.590855175296603,,344.0,2.7125162322622725,,-0.9364651874087311,-0.16974858233695247,0.306
8,trial,V,left,O1+O2,248.0,1.7559153581913338,,544.0,8.537869838799057,,-5.221766781152304,-8.881817876258946,0.366
10,trial,V,left,O1+O2,180.0,5.490496226719798,,540.0,5.826521716130487,,0.07350339490690617,-4.08026850054828,
12,trial,V,left,O1+O2,184.0,5.6365394900024395,,354.0,7.339295742988131,,-0.26948125970234726,-6.526867706895479,
16,trial,V,left,O1+O2,220.0,-1.1397407559418329,,504.0,-2.6818158934166565,,0.8058313341623103,-4.374468358840813,
17,trial,V,left,O1+O2,168.0,2.6777601601492544,,490.0,9.58156773965127,,0.09533889518960063,1.7575078520058334,
18,trial,V,left,O1+O2,164.0,8.109022760879707,,420.0,11.12237368680735,,1.4292534916224269,-11.188685148098898,
19,trial,V,left,O1+O2,184.0,7.586134314692251,,456.0,12.477505127864859,,0.0428982837350909,-1.6681564588481066,
20,trial,V,left,O1+O2,200.0,1.1966798689651152,,460.0,4.79782204711859,,-2.296135152821254,-8.132655630951023,0.534
22,trial,V,left,O1+O2,160.0,6.824980492189182,,396.0,7.925371621925727,,-1.2431422915651917,-2.878085424609993,0.392
23,trial,V,left,O1+O2,166.0,1.632045720020204,,478.0,4.497813881177339,,-2.283270617931476,-9.078223321337587,0.592
26,trial,V,left,O1+O2,158.0,-0.5003982524620637,,588.0,-0.20270534343661106,,1.6884457086947162,-7.0383573143446325,
28,trial,V,left,O1+O2,214.0,9.401418969603089,,404.0,14.583617834127562,,-5.89581960355029,-5.245952362826752,0.3
29,trial,V,left,O1+O2,158.0,-0.4278821062874032,,534.0,2.7665933727932126,,0.14671905517750694,1.8502204324378533,
31,trial,V,left,O1+O2,164.0,5.095067826837484,,574.0,11.685513705232939,,-3.537179515943215,-7.3143958312746,0.366
35,trial,V,left,O1+O2,150.0,1.6701161822375077,,584.0,2.7851684926969136,,-4.667667763555077,-4.565006789991146,0.3
37,trial,V,left,O1+O2,250.0,-0.6164648754235298,,444.0,3.3962630860078433,,0.4471329489406036,-4.039875607538061,
43,trial,V,left,O1+O2,250.0,5.844087367338989,,600.0,8.632464760559944,,-3.4216737580128984,-5.319582313424576,0.3
44,trial,V,left,O1+O2,150.0,1.866751344524597,,456.0,-0.6293686083317216,,3.7734831989225643,-1.7083782123875413,
45,trial,V,left,O1+O2,206.0,-0.6532149239780157,,420.0,5.20663828943623,,2.509554575605746,2.199163033374041,
46,trial,V,left,O1+O2,154.0,-4.233889764424422,,526.0,-0.2979176146371084,,0.8598879663516549,-6.153954125391076,
47,trial,V,left,O1+O2,172.0,2.6642346995267667,,376.0,7.507753240445321,,-2.770205678025785,2.9338896954169082,0.3
49,trial,V,left,O1+O2,176.0,-1.8803382668134259,,526.0,-0.07739541772906056,,-0.7805594688785841,-4.411367636866288,
50,trial,V,left,O1+O2,200.0,8.134905662347112,,510.0,6.812947915409389,,-0.8986887270644063,-2.5343154553810203,
52,trial,V,left,O1+O2,210.0,-1.5652861884338627,,474.0,3.3049761910140028,,-1.713923226559467,-0.4830006366919238,0.598
-1,avg,V,left,O1+O2,158.0,1.2076712640979221,,508.0,2.3524434806803995,,-0.8014581149364624,-3.480856928414911,0.448
2,trial,V,right,O1+O2,154.0,-3.0573624437755607,,506.0,-0.21422469864436722,,0.41460440979656993,-4.453726077664686,0.66
3,trial,V,right,O1+O2,230.0,9.487699023595608,,592.0,12.606886687141106,,-3.545312639994195,-3.447624394082552,0.362
4,trial,V,right,O1+O2,196.0,5.493097647074683,,478.0,6.582256124666495,,-1.2445420240267677,-4.012001275502641,0.746
5,trial,V,right,O1+O2,184.0,6.044065501452718,,600.0,2.7199316529728725,,0.003099987939921862,-7.0588124932662595,0.736
9,trial,V,right,O1+O2,208.0,1.1863574095319862,,584.0,-1.6400102047368188,,1.9646763651708927,-7.50078267352372,
11,trial,V,right,O1+O2,168.0,-1.6988518904697951,,594.0,5.563975856402032,,-2.7209576311971992,-7.647569960111808,0.422
13,trial,V,right,O1+O2,194.0,5.363423848984178,,484.0,8.050618327469733,,-0.47206169731356556,-0.44525735050732257,
14,trial,V,right,O1+O2,162.0,5.309127038234401,,504.0,8.10358750062736,,-3.21925229846263,1.513066530864624,0.3
15,trial,V,right,O1+O2,184.0,0.6472248317196091,,538.0,3.5671890506496506,,-1.201234941240117,-3.9682983517786763,0.62
21,trial,V,right,O1+O2,172.0,2.9697827344881698,,542.0,4.9046049066442245,,-1.7368343426925312,-4.595439309417748,0.698
24,trial,V,right,O1+O2,186.0,1.2948125313836256,,490.0,5.455465521835265,,-1.8510601859916913,-1.138957034626872,0.386
25,trial,V,right,O1+O2,188.0,-0.029450230728626847,,558.0,1.2815055699892717,,-0.21551375027267766,-5.030326535895585,
27,trial,V,right,O1+O2,190.0,1.8634345079087944,,538.0,6.433897600464326,,-0.6014153679183174,6.7472702094658,0.32
30,trial,V,right,O1+O2,184.0,2.9661289912065065,,512.0,2.5241084210462255,,0.107479042239331,2.1328548964551923,
32,trial,V,right,O1+O2,150.0,2.775977740739356,,412.0,4.26849103027708,,-3.032081745606478,-9.263111601222553,0.568
33,trial,V,right,O1+O2,168.0,2.182700057630494,,576.0,3.657417473974366,,-0.7153875327637301,2.94037904652109,0.492
34,trial,V,right,O1+O2,152.0,5.273793403322751,,340.0,1.700799311147085,,-0.6238974574195013,-4.287956641189543,
36,trial,V,right,O1+O2,150.0,-0.707102768005521,,600.0,1.9730240292711922,,-1.4439692071989576,-7.3524923767228625,0.618
38,trial,V,right,O1+O2,166.0,-0.34482645704984083,,518.0,7.374020766612607,,-3.797578432604182,-7.476123159975079,0.338
39,trial,V,right,O1+O2,150.0,-0.42829861743724906,,522.0,6.558245618069585,,-2.1534822572913783,-4.680328509550938,0.422
40,trial,V,right,O1+O2,154.0,4.682899479795958,,320.0,7.641637952725173,,-1.7092869184147441,-2.215435548854156,
41,trial,V,right,O1+O2,172.0,2.7199425938282067,,436.0,1.8928559925403325,,4.442916777677676,-0.606144590410809,
42,trial,V,right,O1+O2,156.0,2.4523935177584715,,552.0,5.337828388530966,,-0.44327920700888546,-4.804886796851054,
48,trial,V,right,O1+O2,164.0,-1.2062402147734674,,600.0,-0.913054382417466,,1.3721213818429356,-3.0467630183946315,
51,trial,V,right,O1+O2,162.0,2.1684127409275025,,508.0,-0.6063874412832331,,1.722438599095579,-2.396478494545111,
53,trial,V,right,O1+O2,158.0,1.5285537066897557,,398.0,1.2446651229441734,,-4.881600019403787,-6.024468206958779,0.3
54,trial,V,right,O1+O2,150.0,-2.344182873676074,,544.0,-2.7527585301513815,,1.2228755067340626,-7.63005186791014,
55,trial,V,right,O1+O2,202.0,-1.5254476683663079,,478.0,0.572512754939061,,0.6067677103100725,-3.4233683037549683,
-1,avg,V,right,O1+O2,160.0,0.4695974735199774,,516.0,1.2474888444860368,,-0.8482774241433676,-3.54188692462185,0.492
57,trial,A,left,T3+T4,236.0,2.6679304400528094,,356.0,5.459510271075017,,0.105967541929207,-17.626608725452964,0.694
61,trial,A,left,T3+T4,150.0,5.001405622659443,,322.0,5.22508278214903,,2.7437794128401762,2.321050942119878,
63,trial,A,left,T3+T4,204.0,9.641996524931624,,590.0,6.41633529431637,,-5.786344241046662,-7.894487900566487,0.3
64,trial,A,left,T3+T4,176.0,3.6042432973733987,,484.0,7.788889648618335,,6.073693862219061,-15.451687104448188,
65,trial,A,left,T3+T4,250.0,6.944141832175132,,302.0,12.159071295603496,,-5.1538798072300995,-5.260482495033724,0.3
66,trial,A,left,T3+T4,200.0,7.03420924781591,,444.0,5.631932816833535,,-1.7793990631058703,-2.947416168148226,0.478
68,trial,A,left,T3+T4,150.0,5.912703322084035,,528.0,4.608314961318598,,-4.156695498989582,-9.09954659096968,0.422
72,trial,A,left,T3+T4,150.0,-2.906051807672134,,558.0,-4.635077574117284,,-0.9955570099636198,-7.381486275921984,0.594
74,trial,A,left,T3+T4,194.0,2.456391566661793,,372.0,-0.4276732896580906,,-5.446547039613828,-5.622020099383171,0.376
75,trial,A,left,T3+T4,178.0,4.282412700664834,,412.0,2.8262713248229807,,-0.907345376313577,-4.133562516950208,
76,trial,A,left,T3+T4,230.0,-3.1094900099455263,,508.0,4.512313264281289,,-0.43132201371955575,-4.306675504787231,
78,trial,A,left,T3+T4,152.0,-0.0694903339198839,,406.0,-2.369980096872904,,1.6997863785967926,-0.525953979337137,
81,trial,A,left,T3+T4,206.0,-1.562072442800049,,576.0,2.0533504985887387,,0.4129768057976245,-0.06642293412336893,
84,trial,A,left,T3+T4,250.0,3.063197923090242,,526.0,6.3625099585727245,,1.0513124111447392,-7.769386646817004,
85,trial,A,left,T3+T4,158.0,2.3558850271833562,,444.0,-1.3507496145914717,,-0.9267105631066109,-2.047459609878895,
88,trial,A,left,T3+T4,164.0,0.19060756555211755,,562.0,4.715957823330896,,0.48024982013294487,-5.896703003892094,
89,trial,A,left,T3+T4,236.0,2.3358158388946926,,446.0,9.880574837262769,,-6.64456465062426,-13.111387236946268,0.34
91,trial,A,left,T3+T4,160.0,0.12427258447508194,,600.0,-1.7847427874734145,,3.249642936566304,-5.1144979001174455,
94,trial,A,left,T3+T4,238.0,1.0033171095334417,,326.0,-3.159145579629428,,2.6045265793629198,-1.9200810976806955,
95,trial,A,left,T3+T4,236.0,3.167905968311016,,576.0,8.293638541178964,,7.004664561464516,8.295201202689695,
97,trial,A,left,T3+T4,150.0,4.862768730581768,,304.0,3.981939692035706,,-3.7679773019187706,-9.383816290502129,0.722
101,trial,A,left,T3+T4,150.0,-0.26835453376025686,,490.0,7.25205505461196,,-5.3687588490506695,-7.160123141363368,0.3
102,trial,A,left,T3+T4,162.0,9.045891613512492,,308.0,9.428099652386603,,-0.8794973027711952,2.754389547412704,
104,trial,A,left,T3+T4,248.0,-6.81466974629912,,370.0,-2.2698456633158424,,0.26821717903814235,-10.787992589823272,0.658
107,trial,A,left,T3+T4,202.0,-0.6688297681232731,,362.0,1.6260121085270092,,-2.5598182509315808,-2.6283721797717576,0.3
110,trial,A,left,T3+T4,184.0,5.220961464910656,,600.0,3.6899656835567596,,-3.9995853464756705,-8.34303454730472,0.356
111,trial,A,left,T3+T4,250.0,0.9419970271195158,,476.0,7.423622259315001,,-3.769287771676004,-4.402253646970979,0.3
112,trial,A,left,T3+T4,188.0,3.343976325510856,,512.0,9.582859294894744,,-7.280931483874487,-3.43259096498321,0.3
-1,avg,A,left,T3+T4,158.0,0.1925133091483718,,450.0,0.602036884839474,,-1.2199787171899863,-5.319407409248283,0.588
56,trial,A,right,T3+T4,164.0,5.656121417547206,,358.0,3.048811186361803,,0.3098698452683575,-4.010394249579196,
58,trial,A,right,T3+T4,170.0,11.228818856650424,,348.0,12.018162011629785,,3.50384199734588,-2.3826063925007452,
59,trial,A,right,T3+T4,166.0,-3.7474625522344325,,386.0,-0.007885235643193766,,4.161632259477293,2.7908252982982065,
60,trial,A,right,T3+T4,250.0,3.996904289049683,,356.0,1.0366530511430678,,-5.091999517998814,-3.460685827088503,0.3
62,trial,A,right,T3+T4,210.0,4.094360619190752,,424.0,2.660694026404175,,-0.6814028908407009,-5.428443210213743,
67,trial,A,right,T3+T4,246.0,1.9938818672222358,,330.0,4.765007541934007,,-0.10692823735563028,-6.208681402218498,0.794
69,trial,A,right,T3+T4,150.0,0.9719254636449787,,354.0,3.3378284890393495,,-1.131674524417356,-5.168291040597204,
70,trial,A,right,T3+T4,250.0,4.782234119464905,,444.0,4.087951402646313,,-3.390512388523811,-2.4415360572192757,0.39
71,trial,A,right,T3+T4,224.0,-0.8664779658577502,,568.0,1.0763152595668832,,-2.830552500878575,-5.328141431132968,0.442
73,trial,A,right,T3+T4,250.0,4.467333905168922,,460.0,7.086950417842308,,0.6475589929151476,6.204962724875387,
77,trial,A,right,T3+T4,150.0,3.6967857634882337,,410.0,7.573116848547107,,-1.508149296040308,-6.092322623387232,0.666
79,trial,A,right,T3+T4,250.0,4.2314436306332475,,376.0,3.954048375529114,,1.1797321327952972,5.325793965036655,
80,trial,A,right,T3+T4,182.0,7.822215993323166,,396.0,10.815249773851047,,2.9389513219419343,-3.0141561721883643,
82,trial,A,right,T3+T4,230.0,2.32877709061188,,566.0,4.753290407772203,,2.2871994350232243,-7.707091213390243,
83,trial,A,right,T3+T4,192.0,6.976485411011852,,316.0,7.596771811018974,,1.7679158313319137,-2.9241185438948567,
86,trial,A,right,T3+T4,250.0,5.9999530750988965,,542.0,16.56672719024123,,-4.218344038228067,1.748260976676049,0.3
87,trial,A,right,T3+T4,182.0,3.520769674034695,,596.0,7.059138265233365,,-4.173642512709386,-7.767289359942625,0.434
90,trial,A,right,T3+T4,248.0,1.4629620597636053,,316.0,-0.6650853843158167,,-2.8722511075588506,-8.594023974161857,0.512
92,trial,A,right,T3+T4,240.0,-1.1299229605921688,,370.0,0.345992857161848,,0.3126295355236215,-4.009037220549132,
93,trial,A,right,T3+T4,246.0,2.4993123197112954,,334.0,4.030682208504362,,3.631764488187735,-1.2805417354285658,
96,trial,A,right,T3+T4,236.0,1.2824253516944828,,594.0,-0.33294673043959977,,-2.0868823480000893,-3.290621977640558,0.3
98,trial,A,right,T3+T4,208.0,3.807493893684092,,530.0,7.781037953469284,,-0.8214432725561713,2.2350935076260825,0.3
99,trial,A,right,T3+T4,188.0,-3.8768896435948985,,578.0,-2.7582185118160534,,-1.1918000403183702,-6.654658170646134,0.606
100,trial,A,right,T3+T4,212.0,3.1736466289519543,,404.0,2.2795314021125153,,-0.43796727119681383,-2.023832730337162,
103,trial,A,right,T3+T4,176.0,2.537242355607917,,442.0,1.5992437268002475,,-0.47798143149120653,-2.847457129840519,
105,trial,A,right,T3+T4,248.0,4.344956955194447,,392.0,6.435417417030896,,-4.177604496939539,2.7024750541888616,0.3
106,trial,A,right,T3+T4,200.0,-0.8310124373213496,,566.0,7.001861999812036,,-2.576347160469842,0.4827964239048451,0.3
108,trial,A,right,T3+T4,250.0,0.7754537002895192,,586.0,3.312374550560331,,3.2661885539111175,7.749810547855627,
109,trial,A,right,T3+T4,238.0,5.711760653702804,,560.0,5.760801799999897,,0.45089206002543464,5.5938418141508786,
113,trial,A,right,T3+T4,202.0,5.489726184669791,,490.0,8.458721615648136,,-2.2763052027008257,-8.459794849542575,0.526
114,trial,A,right,T3+T4,150.0,7.2697632025181855,,380.0,5.726903481396675,,0.485863704410294,3.285743229734636,
-1,avg,A,right,T3+T4,250.0,0.7360403722993601,,388.0,0.8420617872863703,,-0.4873467122602293,-1.9669071538436367,0.716
118,trial,VA,left,O1+O2,150.0,-1.0364509662099948,,572.0,11.636268903103636,,-1.4915840942549385,-12.745067454330439,0.63
119,trial,VA,left,O1+O2,250.0,3.292853334683766,,430.0,7.152241117740914,,-0.8923185810733727,0.08809676158442294,
121,trial,VA,left,O1+O2,250.0,-1.8980181739787692,,534.0,5.822013907513981,,-2.3814245640881833,1.420792082771704,0.326
123,trial,VA,left,O1+O2,250.0,3.368315881567099,,392.0,7.094078857438893,,-3.612941625616428,-4.562572735252833,0.482
127,trial,VA,left,O1+O2,250.0,-1.9830053136530779,,316.0,2.0055488287963295,,-3.459925578551343,-15.629225782979391,0.52
129,trial,VA,left,O1+O2,250.0,-7.103258977317186,,560.0,2.1826521330196114,,-0.41315023036809684,-6.433179223166637,
131,trial,VA,left,O1+O2,250.0,-4.9492029763246475,,584.0,2.238768885898656,,-4.62040136145294,-2.780525704749976,0.3
132,trial,VA,left,O1+O2,250.0,6.835198599879551,,590.0,16.32294047088421,,-6.116633504124894,6.5295834937858865,0.3
133,trial,VA,left,O1+O2,244.0,-6.338815961000521,,518.0,0.5230431504752926,,2.5090799403682227,2.905269794436835,
135,trial,VA,left,O1+O2,218.0,-0.664077421227223,,528.0,5.694558078164816,,-2.559483819489836,-3.640032408713523,0.502
137,trial,VA,left,O1+O2,248.0,-1.85628741160806,,422.0,2.8820289786493096,,1.8529627907216382,3.939410001633631,
139,trial,VA,left,O1+O2,236.0,-0.5637777266668601,,554.0,8.218624205271588,,-3.211380051980169,-8.15888431493377,0.472
140,trial,VA,left,O1+O2,250.0,9.21299653789038,,580.0,13.863097314183523,,-7.153869257645263,-3.643553140992256,0.3
141,trial,VA,left,O1+O2,150.0,1.0999320893738436,,560.0,6.126723845214344,,-2.2237025728080684,1.1474332150503306,0.354
145,trial,VA,left,O1+O2,230.0,-2.1599478606205915,,390.0,3.4235049469586105,,1.130107510820315,-2.792401667237033,
146,trial,VA,left,O1+O2,202.0,1.784282633861898,,414.0,6.706491060751578,,-0.4254297894311334,-1.5497913916632315,
147,trial,VA,left,O1+O2,160.0,-5.900605031998845,,548.0,-6.625154066921893,,-4.788993476770868,-6.956822018968377,0.3
149,trial,VA,left,O1+O2,250.0,6.012649703546847,,332.0,6.714070355963019,,-3.7991348242237466,2.969422092851447,0.3
153,trial,VA,left,O1+O2,238.0,1.9805384594985578,,476.0,5.331709193778014,,-0.9494157313545621,-2.583946137693059,0.436
154,trial,VA,left,O1+O2,250.0,1.0945408040680649,,598.0,4.8148806748411825,,-2.7865084123274007,1.8161366378614539,0.3
157,trial,VA,left,O1+O2,226.0,2.895058937922093,,396.0,12.782318913181129,,-6.110662801544879,1.8839178248150716,0.3
159,trial,VA,left,O1+O2,250.0,7.642399595763679,,396.0,7.5397966508113505,,-6.613431099907114,0.07462649027445803,0.3
160,trial,VA,left,O1+O2,210.0,1.4029336820400373,,508.0,3.9630615705736503,,-1.1224198803298622,-8.337823510834355,0.738
161,trial,VA,left,O1+O2,250.0,2.0603101022978225,,532.0,5.2743931830604325,,-2.0820271362803946,7.055477105837038,0.3
164,trial,VA,left,O1+O2,150.0,6.022521435929029,,596.0,10.06075522213377,,-3.6132821113213125,-1.2093356482135267,0.3
166,trial,VA,left,O1+O2,248.0,7.330088098379123,,300.0,10.550362722488028,,-5.2281724136179255,-0.9939351958159095,0.3
168,trial,VA,left,O1+O2,224.0,-2.0384027009654724,,460.0,4.6138465623519185,,-3.6239230100316018,0.1469420564683021,0.3
169,trial,VA,left,O1+O2,160.0,2.6545116336111514,,548.0,4.8223609620590056,,0.38604587378159094,0.17221599094612686,
-1,avg,VA,left,O1+O2,250.0,-0.04040066847332065,,582.0,3.28784996612401,,-2.621500707603663,-1.8524204566867004,0.3
115,trial,VA,right,O1+O2,240.0,3.381274320484002,,352.0,10.667408540400816,,-3.510150975377268,-4.365957686225942,0.3
116,trial,VA,right,O1+O2,230.0,-2.433148519208884,,600.0,1.018044414569236,,0.37210345219935886,-3.5395379942049146,
117,trial,VA,right,O1+O2,250.0,0.1441475827411477,,538.0,5.796707236701315,,-1.3467409964666117,-4.80835152192625,0.76
120,trial,VA,right,O1+O2,230.0,8.645749367096986,,412.0,8.450567106570237,,-7.509181009905291,-13.576450384878896,0.3
122,trial,VA,right,O1+O2,250.0,3.4144294523358774,,588.0,12.358874721037218,,-3.536534777589909,-0.7657920257873893,0.3
124,trial,VA,right,O1+O2,250.0,1.6755051082161505,,322.0,5.620032250526497,,-6.0796314543245,-6.1224846938761415,0.3
125,trial,VA,right,O1+O2,198.0,5.729836645629909,,356.0,6.6656571831595794,,-1.5025426934631971,0.015350254740322828,
126,trial,VA,right,O1+O2,250.0,3.9331922087732734,,410.0,7.343605270451466,,-3.2611293841348172,-3.661166745693067,0.508
128,trial,VA,right,O1+O2,218.0,-2.507299375835206,,570.0,2.7062595514955152,,-3.0937023230343264,-14.073683783711603,0.498
130,trial,VA,right,O1+O2,238.0,1.3314051652827879,,368.0,4.8605432862912314,,-3.2040863685681003,-9.032726815319638,0.58
134,trial,VA,right,O1+O2,204.0,1.9406038004648414,,468.0,8.760901629814104,,-2.6172018841107905,-5.164986056213563,0.55
136,trial,VA,right,O1+O2,244.0,2.2882043970108064,,368.0,10.191265941188322,,-3.428094179605122,0.7652714939543243,0.3
138,trial,VA,right,O1+O2,246.0,2.465797657973247,,466.0,1.4479879542396739,,-2.0381965582988077,-0.4840140432741015,0.356
142,trial,VA,right,O1+O2,188.0,1.2635338876371276,,594.0,5.097265697354375,,-0.5952178499218982,3.07767954393709,
143,trial,VA,right,O1+O2,242.0,5.550001483487088,,508.0,13.062024143370584,,-5.073186126337556,-1.6536283031055758,0.3
144,trial,VA,right,O1+O2,250.0,-9.683416451269867,,370.0,-0.5656934062633729,,-1.5971136189334811,-1.6280542096379182,0.536
148,trial,VA,right,O1+O2,242.0,1.1236837815748841,,522.0,4.604015654814407,,-4.453275803389634,-6.370726355154552,0.3
150,trial,VA,right,O1+O2,234.0,5.023059369628358,,554.0,8.809566150321857,,-0.3724653032359934,3.3851480349009546,
151,trial,VA,right,O1+O2,180.0,3.4032686169303275,,540.0,7.943610405339809,,-2.0680796466408493,5.309721619637143,0.3
152,trial,VA,right,O1+O2,232.0,6.80944390397045,,388.0,13.459667802079974,,-0.6217287006420663,3.5829522430676497,
155,trial,VA,right,O1+O2,166.0,-2.1809138501123293,,600.0,-2.3432200249082458,,-1.1299442813550564,4.0853418168640045,0.45
156,trial,VA,right,O1+O2,208.0,6.639937758755883,,552.0,11.781276569145382,,-1.6438295962815834,4.640342557276706,0.3
158,trial,VA,right,O1+O2,204.0,4.659185809673845,,360.0,7.482603521847059,,-0.7455418833221243,5.7767994308469754,0.3
162,trial,VA,right,O1+O2,242.0,5.772771560329202,,576.0,7.925887293524286,,-3.7633056301695977,-2.4937668863278803,0.3
163,trial,VA,right,O1+O2,226.0,5.0445349419434855,,306.0,6.483612107181733,,-3.4499841412928314,-0.4522403965902475,0.3
165,trial,VA,right,O1+O2,210.0,-1.7899226644600459,,516.0,-1.432875382005107,,1.1349871306008197,-1.8797648344924243,
167,trial,VA,right,O1+O2,250.0,3.08632549430134,,364.0,8.964695142606203,,-3.5314917003876873,-2.0318291295560664,0.3
170,trial,VA,right,O1+O2,230.0,-1.7087414681265622,,598.0,-0.0030188319490069837,,-1.0998348642993347,2.9993595739838095,0.3
-1,avg,VA,right,O1+O2,250.0,1.003916032720054,,366.0,3.696045981490164,,-2.491610756010295,-1.730971260598828,0.3
