modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
A,right,C3,mu,14,0.576,2.156,-93.459305,,
A,right,C3,mu,15,0.936,2.584,-84.085884,,
A,right,C3,mu,16,0.056,0.76,-86.47394,,
A,right,C3,mu,17,0.192,1.316,-94.90507,,
A,right,C3,mu,18,1.304,2.576,-79.57893,,
A,right,C3,mu,19,2.488,3.748,-79.37764,,
A,right,C3,mu,20,1.712,2.084,-77.50767,,
A,right,C3,mu,21,0.292,2.128,-73.42112,,
A,right,C3,mu,22,0.176,2.992,-92.95951,,
A,right,C3,mu,23,0.436,1.176,-85.466995,,
A,right,C3,mu,24,0.248,2.888,-79.11784,,
A,right,C3,mu,25,0.132,3.64,-91.951805,,
A,right,C3,mu,26,0.0,0.792,-89.25702,,
A,right,C3,mu,27,0.044,0.56,-83.543144,,
A,right,C3,mu,28,0.776,1.732,-88.387215,,
A,right,C3,mu,29,0.0,2.56,-90.02218,,
A,right,C3,mu,30,0.26,0.724,-95.83925,,
A,right,C3,beta,0,1.176,1.872,-89.92953,7.692,62.281727
A,right,C3,beta,1,1.048,1.164,-85.654816,6.732,184.26352
A,right,C3,beta,2,0.74,3.952,-89.312096,6.852,114.90766
A,right,C3,beta,3,0.168,3.164,-89.84332,8.428,199.12482
A,right,C3,beta,4,0.648,1.556,-85.85448,8.336,79.56961
A,right,C3,beta,5,2.936,3.608,-73.955154,6.444,145.53017
A,right,C3,beta,6,0.096,1.436,-82.31409,6.456,150.65225
A,right,C3,beta,7,1.192,2.996,-83.37187,6.78,441.70337
A,right,C3,beta,8,0.416,2.94,-83.58716,8.06,144.04767
A,right,C3,beta,9,1.3,2.6,-72.084045,8.244,105.37635
A,right,C3,beta,10,0.508,1.212,-84.20092,7.76,181.86209
A,right,C3,beta,11,0.008,3.632,-87.280685,6.368,99.11099
A,right,C3,beta,12,0.148,1.744,-89.57475,6.596,182.9321
A,right,C3,beta,13,1.328,1.432,-69.64407,8.276,215.44899
A,right,C3,beta,14,0.72,4.28,-87.55666,8.132,342.09964
A,right,C3,beta,15,0.516,1.152,-78.26571,8.468,356.20758
A,right,C3,beta,16,0.488,4.084,-87.98926,7.796,147.23784
A,right,C3,beta,17,0.376,3.276,-86.154495,7.3,119.032295
A,right,C3,beta,18,0.032,3.244,-93.20586,6.676,72.95656
A,right,C3,beta,19,0.532,0.872,-89.544495,7.24,111.52665
A,right,C3,beta,20,0.14,2.532,-87.365524,6.888,178.87994
A,right,C3,beta,21,0.0,2.88,-70.46742,6.38,803.4666
A,right,C3,beta,22,0.816,1.892,-88.15502,6.276,99.28791
A,right,C3,beta,23,0.476,2.204,-84.91917,8.216,188.3405
A,right,C3,beta,24,0.208,2.508,-88.77307,6.368,115.016205
A,right,C3,beta,25,0.0,1.576,-80.45782,8.272,401.93643
A,right,C3,beta,26,0.728,3.992,-85.07219,8.388,316.16068
A,right,C3,beta,27,0.644,2.512,-81.27985,8.3,397.99304
A,right,C3,beta,28,0.088,0.564,-87.87694,8.308,10.339083
A,right,C3,beta,29,0.012,3.676,-70.84141,8.144,186.89256
A,right,C3,beta,30,0.0,0.5,-81.40796,7.816,203.00029
A,right,C4,mu,0,0.0,2.212,-84.8518,,
A,right,C4,mu,1,1.152,4.272,-86.26825,,
A,right,C4,mu,2,0.208,2.376,-93.496,,
A,right,C4,mu,3,0.324,1.932,-94.477325,,
A,right,C4,mu,4,0.88,1.316,-81.79257,,
A,right,C4,mu,5,0.752,0.976,-89.5503,,
A,right,C4,mu,6,0.0,3.22,-66.86139,,
A,right,C4,mu,7,0.0,4.268,-89.71429,,
A,right,C4,mu,8,1.536,3.776,-82.406654,,
A,right,C4,mu,9,1.632,1.812,-93.49797,,
A,right,C4,mu,10,0.512,1.02,-96.034935,,
A,right,C4,mu,11,0.576,0.676,-95.32371,,
A,right,C4,mu,12,0.208,0.968,-84.95001,,
A,right,C4,mu,13,0.256,1.756,-93.79361,,
A,right,C4,mu,14,4.192,3.712,-61.186115,,
A,right,C4,mu,15,1.204,3.12,-87.815,,
A,right,C4,mu,16,0.44,4.184,-88.70368,,
A,right,C4,mu,17,0.704,1.304,-83.60274,,
A,right,C4,mu,18,0.356,0.508,-92.969,,
A,right,C4,mu,19,0.536,3.352,-91.78724,,
A,right,C4,mu,20,0.82,0.944,-88.131325,,
A,right,C4,mu,21,0.144,2.772,-88.20442,,
A,right,C4,mu,22,0.224,3.308,-94.72306,,
A,right,C4,mu,23,1.932,4.268,-86.556625,,
A,right,C4,mu,24,0.0,1.436,-75.06502,,
A,right,C4,mu,25,0.06,3.004,-88.19446,,
A,right,C4,mu,26,1.224,2.368,-72.46351,,
A,right,C4,mu,27,0.576,2.596,-81.47334,,
A,right,C4,mu,28,0.0,2.312,-86.9276,,
A,right,C4,mu,29,0.36,2.164,-88.65459,,
A,right,C4,mu,30,0.0,2.144,-84.50893,,
A,right,C4,beta,0,0.312,1.972,-78.15714,6.932,172.91489
A,right,C4,beta,1,0.0,3.684,-81.85528,7.804,221.39883
A,right,C4,beta,2,0.256,0.892,-87.44019,6.252,173.11421
A,right,C4,beta,3,2.016,2.62,-86.13699,7.096,137.3547
A,right,C4,beta,4,0.612,3.812,-83.42349,8.26,146.9699
A,right,C4,beta,5,1.568,1.628,-82.04185,8.252,316.94556
A,right,C4,beta,6,0.268,3.388,-77.23914,8.224,183.21935
A,right,C4,beta,7,1.124,2.048,-84.79834,7.576,409.09286
A,right,C4,beta,8,2.588,4.188,-82.893486,7.372,390.04684
A,right,C4,beta,9,1.524,2.728,-81.613525,8.06,145.56816
A,right,C4,beta,10,0.0,2.72,-85.112206,7.792,214.41861
A,right,C4,beta,11,0.044,4.488,-81.72386,8.5,90.63591
A,right,C4,beta,12,0.148,1.744,-89.57475,6.596,182.9321
A,right,C4,beta,13,0.308,0.8,-73.6617,6.572,232.00066
A,right,C4,beta,14,0.32,0.528,-83.08576,8.304,273.96823
A,right,C4,beta,15,0.176,0.964,-90.04452,7.636,164.68816
A,right,C4,beta,16,0.532,2.336,-96.803085,7.804,147.65811
A,right,C4,beta,17,0.408,1.496,-92.083115,6.588,136.08807
A,right,C4,beta,18,0.796,0.532,-86.98544,7.84,109.20904
A,right,C4,beta,19,0.548,1.612,-87.83097,6.912,123.618706
A,right,C4,beta,20,0.0,1.952,-79.95295,6.54,298.1511
A,right,C4,beta,21,0.42,1.24,-78.89968,6.488,708.5679
A,right,C4,beta,22,0.312,1.632,-76.69991,7.132,214.5803
A,right,C4,beta,23,0.056,1.208,-76.89536,6.772,165.7885
A,right,C4,beta,24,0.98,2.3,-79.10024,7.976,95.101974
A,right,C4,beta,25,,4.436,-75.95756,7.988,342.27243
A,right,C4,beta,26,0.076,2.772,-86.75387,7.236,182.55171
A,right,C4,beta,27,0.0,2.572,-96.81963,8.288,404.54825
A,right,C4,beta,28,0.084,1.24,-85.48999,6.628,382.74075
A,right,C4,beta,29,2.868,4.048,-90.375114,7.86,131.09387
A,right,C4,beta,30,1.488,3.468,-91.24481,6.568,171.51294
VA,left,C3,mu,0,0.0,1.608,-85.25942,,
VA,left,C3,mu,1,0.304,3.444,-74.21182,,
VA,left,C3,mu,2,0.092,0.696,-89.77485,,
VA,left,C3,mu,3,0.396,0.82,-91.161804,,
VA,left,C3,mu,4,0.488,1.412,-92.757065,,
VA,left,C3,mu,5,0.224,0.5,-77.276215,,
VA,left,C3,mu,6,0.928,1.264,-94.13714,,
VA,left,C3,mu,7,0.516,3.304,-95.5614,,
VA,left,C3,mu,8,0.044,2.536,-90.483154,,
VA,left,C3,mu,9,1.06,1.74,-98.97192,,
VA,left,C3,mu,10,0.172,2.004,-84.0608,,
VA,left,C3,mu,11,0.472,1.0,-87.762245,,
VA,left,C3,mu,12,0.304,0.692,-91.12973,,
VA,left,C3,mu,13,0.0,1.012,-76.80602,,
VA,left,C3,mu,14,0.944,3.872,-86.74572,,
VA,left,C3,mu,15,0.1,3.784,-92.121414,,
VA,left,C3,mu,16,0.14,3.872,-94.18562,,
VA,left,C3,mu,17,0.156,4.112,-68.95143,,
VA,left,C3,mu,18,0.388,3.504,-90.31918,,
VA,left,C3,mu,19,0.724,2.436,-89.47916,,
VA,left,C3,mu,20,0.276,2.3,-92.73484,,
VA,left,C3,mu,21,0.312,1.852,-58.767735,,
VA,left,C3,mu,22,0.0,0.5,-82.160255,,
VA,left,C3,mu,23,2.496,2.628,-87.76764,,
VA,left,C3,mu,24,0.0,4.2,-66.30968,,
VA,left,C3,mu,25,0.0,1.124,-89.44778,,
VA,left,C3,mu,26,0.064,4.292,-83.116005,,
VA,left,C3,beta,0,1.184,4.496,-82.73276,7.104,101.77113
VA,left,C3,beta,1,0.248,0.584,-81.39221,6.66,253.92087
VA,left,C3,beta,2,0.028,1.612,-85.386024,8.324,247.2837
VA,left,C3,beta,3,0.756,1.7,-84.18338,7.064,171.15002
VA,left,C3,beta,4,0.016,2.34,-88.01167,8.412,143.82683
VA,left,C3,beta,5,0.04,2.836,-88.97865,8.096,92.519775
VA,left,C3,beta,6,0.072,3.16,-90.99304,8.02,88.35615
VA,left,C3,beta,7,0.416,3.476,-91.40028,7.436,167.74254
VA,left,C3,beta,8,0.22,0.5,-94.30278,6.308,206.32138
VA,left,C3,beta,9,1.424,1.624,-84.64024,7.68,433.24158
VA,left,C3,beta,10,0.332,3.636,-80.246376,8.072,267.29535
VA,left,C3,beta,11,0.396,4.492,-89.08906,7.496,85.02165
VA,left,C3,beta,12,0.956,1.14,-77.42028,7.052,249.3123
VA,left,C3,beta,13,1.848,2.064,-79.46105,7.9,225.08296
VA,left,C3,beta,14,,2.536,-72.56178,7.148,225.51309
VA,left,C3,beta,15,0.316,1.992,-77.86999,8.5,199.79716
VA,left,C3,beta,16,0.0,3.584,-85.67292,6.856,272.94525
VA,left,C3,beta,17,0.0,4.268,-85.388954,6.252,189.29776
VA,left,C3,beta,18,0.256,3.524,-87.95441,7.892,130.4983
VA,left,C3,beta,19,0.636,0.812,-81.48632,7.72,199.91782
VA,left,C3,beta,20,0.304,1.58,-89.3181,6.792,109.39222
VA,left,C3,beta,21,0.536,3.36,-73.25173,6.4,95.89168
VA,left,C3,beta,22,0.0,4.416,-63.394535,7.632,337.56345
VA,left,C3,beta,23,3.408,3.968,-74.72098,7.752,287.41672
VA,left,C3,beta,24,,3.852,-62.361534,7.984,241.87508
VA,left,C3,beta,25,0.0,2.112,-87.97979,7.84,164.83061
VA,left,C3,beta,26,2.556,1.52,-74.08996,7.608,563.87634
VA,left,C4,mu,0,0.584,1.86,-82.22841,,
VA,left,C4,mu,1,0.756,3.536,-67.597496,,
VA,left,C4,mu,2,1.396,4.42,-74.09002,,
VA,left,C4,mu,3,0.0,1.968,-80.58127,,
VA,left,C4,mu,4,3.928,4.136,-74.667465,,
VA,left,C4,mu,5,0.596,0.832,-91.62379,,
VA,left,C4,mu,6,0.548,3.816,-79.6632,,
VA,left,C4,mu,7,0.204,3.152,-84.638145,,
VA,left,C4,mu,8,0.188,0.58,-73.67873,,
VA,left,C4,mu,9,0.34,0.98,-88.21521,,
VA,left,C4,mu,10,0.4,1.52,-66.63787,,
VA,left,C4,mu,11,0.0,0.652,-97.2397,,
VA,left,C4,mu,12,0.036,3.888,-86.61732,,
VA,left,C4,mu,13,0.0,0.556,-90.73608,,
VA,left,C4,mu,14,0.036,1.072,-89.20572,,
VA,left,C4,mu,15,0.464,0.552,-70.68411,,
VA,left,C4,mu,16,0.0,4.248,-75.97146,,
VA,left,C4,mu,17,0.0,3.192,-81.87879,,
VA,left,C4,mu,18,0.02,1.544,-88.752754,,
VA,left,C4,mu,19,0.128,3.568,-87.23216,,
VA,left,C4,mu,20,0.464,0.832,-82.81153,,
VA,left,C4,mu,21,0.488,0.672,-81.87857,,
VA,left,C4,mu,22,0.304,4.332,-82.32815,,
VA,left,C4,mu,23,0.0,1.472,-79.096855,,
VA,left,C4,mu,24,,1.408,-26.623602,,
VA,left,C4,mu,25,0.172,4.304,-88.90926,,
VA,left,C4,mu,26,0.384,1.076,-90.08821,,
VA,left,C4,beta,0,0.224,1.296,-74.29681,6.604,313.31467
VA,left,C4,beta,1,0.0,3.268,-81.90008,8.32,251.45694
VA,left,C4,beta,2,1.676,3.516,-79.447395,8.152,180.34514
VA,left,C4,beta,3,0.428,1.272,-72.21509,7.66,182.66264
VA,left,C4,beta,4,0.0,0.5,-89.943306,7.8,90.44286
VA,left,C4,beta,5,0.0,4.5,-82.689415,7.504,52.400665
VA,left,C4,beta,6,0.536,4.244,-78.40615,7.436,112.459015
VA,left,C4,beta,7,0.272,2.144,-84.841934,7.456,310.5403
VA,left,C4,beta,8,0.876,1.312,-77.53819,8.464,297.42694
VA,left,C4,beta,9,0.156,2.516,-79.51575,8.276,132.478
VA,left,C4,beta,10,0.36,0.5,-81.30002,7.444,201.32167
VA,left,C4,beta,11,0.78,0.848,-83.30727,8.388,218.00128
VA,left,C4,beta,12,0.0,3.676,-93.175026,6.908,68.850624
VA,left,C4,beta,13,0.116,3.864,-82.60622,6.252,135.57793
VA,left,C4,beta,14,0.784,0.904,-79.26892,8.152,189.3943
VA,left,C4,beta,15,0.408,2.492,-85.45934,7.892,161.4625
VA,left,C4,beta,16,0.132,1.568,-89.449646,7.548,22.666605
VA,left,C4,beta,17,0.032,4.256,-76.7746,8.06,120.33952
VA,left,C4,beta,18,0.34,3.596,-86.40339,6.728,186.11781
VA,left,C4,beta,19,0.0,3.628,-75.868935,7.192,220.8899
VA,left,C4,beta,20,3.036,3.12,-77.80931,7.332,473.09012
VA,left,C4,beta,21,1.156,2.036,-79.14205,7.336,90.72325
VA,left,C4,beta,22,0.348,4.5,-93.80937,7.144,272.46323
VA,left,C4,beta,23,0.04,2.384,-78.49408,6.34,265.76752
VA,left,C4,beta,24,1.128,1.228,-70.85804,8.5,243.88068
VA,left,C4,beta,25,0.516,0.68,-72.049965,8.288,204.77235
VA,left,C4,beta,26,0.1,3.384,-94.22538,8.496,128.6426
VA,right,C3,mu,0,0.104,1.012,-66.77244,,
VA,right,C3,mu,1,0.144,4.212,-86.092255,,
VA,right,C3,mu,2,0.0,3.376,-86.188614,,
VA,right,C3,mu,3,0.028,1.404,-83.55695,,
VA,right,C3,mu,4,0.036,4.168,-86.6702,,
VA,right,C3,mu,5,0.296,2.74,-82.616875,,
VA,right,C3,mu,6,0.936,1.032,-64.31447,,
VA,right,C3,mu,7,1.336,2.944,-96.30686,,
VA,right,C3,mu,8,0.708,1.044,-88.86063,,
VA,right,C3,mu,9,1.036,2.292,-81.05855,,
VA,right,C3,mu,10,0.14,2.092,-89.99947,,
VA,right,C3,mu,11,0.408,1.404,-97.02857,,
VA,right,C3,mu,12,0.292,4.408,-80.39043,,
VA,right,C3,mu,13,0.376,0.836,-93.26807,,
VA,right,C3,mu,14,0.404,1.184,-94.685326,,
VA,right,C3,mu,15,0.232,1.544,-90.48177,,
VA,right,C3,mu,16,0.288,1.124,-86.00096,,
VA,right,C3,mu,17,0.0,1.516,-89.16077,,
VA,right,C3,mu,18,0.836,1.832,-74.961975,,
VA,right,C3,mu,19,0.0,2.336,-85.77589,,
VA,right,C3,mu,20,2.04,2.152,-80.47053,,
VA,right,C3,mu,21,0.02,3.184,-90.09113,,
VA,right,C3,mu,22,0.0,2.868,-90.13737,,
VA,right,C3,mu,23,0.484,0.604,-72.41474,,
VA,right,C3,mu,24,0.124,3.844,-90.121994,,
VA,right,C3,mu,25,0.836,2.312,-93.247856,,
VA,right,C3,mu,26,0.388,4.5,-91.24545,,
VA,right,C3,mu,27,0.156,3.116,-80.17703,,
VA,right,C3,beta,0,0.776,2.792,-87.4649,8.5,348.9913
VA,right,C3,beta,1,0.0,3.356,-78.21128,7.848,273.7726
VA,right,C3,beta,2,0.708,0.932,-82.74338,8.456,165.13313
VA,right,C3,beta,3,0.28,1.46,-86.500626,7.452,87.465416
VA,right,C3,beta,4,0.696,1.728,-82.86657,8.112,268.34668
VA,right,C3,beta,5,0.372,0.732,-82.44912,6.628,187.63837
VA,right,C3,beta,6,0.532,4.096,-73.20958,6.468,258.5061
VA,right,C3,beta,7,1.22,1.74,-86.09339,7.104,226.10046
VA,right,C3,beta,8,0.288,3.024,-92.13221,8.36,263.67032
VA,right,C3,beta,9,0.48,0.532,-77.06519,7.928,497.0666
VA,right,C3,beta,10,0.924,2.792,-76.537125,6.516,194.8485
VA,right,C3,beta,11,0.0,1.304,-67.70465,7.3,255.38467
VA,right,C3,beta,12,0.756,3.644,-81.37406,7.896,274.15622
VA,right,C3,beta,13,0.572,2.476,-79.592476,7.256,228.14711
VA,right,C3,beta,14,0.472,1.756,-85.718864,8.5,190.98834
VA,right,C3,beta,15,0.14,3.44,-89.051674,7.464,91.09333
VA,right,C3,beta,16,0.624,0.796,-81.19859,6.252,451.5829
VA,right,C3,beta,17,0.472,3.268,-80.24344,7.656,319.17337
VA,right,C3,beta,18,0.236,2.712,-82.23425,7.776,209.9254
VA,right,C3,beta,19,2.16,2.764,-85.384766,6.484,260.2755
VA,right,C3,beta,20,1.952,3.504,-74.58021,6.784,241.3293
VA,right,C3,beta,21,3.084,3.568,-70.83954,7.524,360.17975
VA,right,C3,beta,22,2.336,1.344,-81.6361,6.92,233.08673
VA,right,C3,beta,23,0.436,0.528,-75.00431,6.488,196.06865
VA,right,C3,beta,24,1.852,3.544,-87.839035,6.284,142.47618
VA,right,C3,beta,25,1.544,2.3,-77.28672,6.672,163.01668
VA,right,C3,beta,26,1.352,0.584,-78.33837,7.768,237.30559
VA,right,C3,beta,27,1.764,2.844,-78.6947,6.42,406.03598
VA,right,C4,mu,0,0.268,2.864,-96.429596,,
VA,right,C4,mu,1,0.648,2.704,-81.57902,,
VA,right,C4,mu,2,0.972,2.748,-92.27531,,
VA,right,C4,mu,3,0.444,4.456,-88.60441,,
VA,right,C4,mu,4,0.0,1.596,-93.08265,,
VA,right,C4,mu,5,0.168,1.872,-94.91106,,
VA,right,C4,mu,6,0.412,0.656,-74.71753,,
VA,right,C4,mu,7,0.52,3.372,-92.226494,,
VA,right,C4,mu,8,0.74,3.824,-79.481415,,
VA,right,C4,mu,9,0.0,1.248,-85.0764,,
VA,right,C4,mu,10,0.868,2.8,-80.662254,,
VA,right,C4,mu,11,0.0,0.728,-81.6205,,
VA,right,C4,mu,12,0.52,1.78,-89.600365,,
VA,right,C4,mu,13,0.0,0.788,-89.61795,,
VA,right,C4,mu,14,0.756,2.74,-92.66921,,
VA,right,C4,mu,15,0.264,4.216,-92.43266,,
VA,right,C4,mu,16,0.584,0.72,-88.47464,,
VA,right,C4,mu,17,0.0,0.504,-91.7145,,
VA,right,C4,mu,18,0.0,3.188,-96.11529,,
VA,right,C4,mu,19,0.008,4.288,-58.724915,,
VA,right,C4,mu,20,0.0,1.932,-93.42605,,
VA,right,C4,mu,21,0.432,2.724,-81.16886,,
VA,right,C4,mu,22,0.824,2.84,-85.0359,,
VA,right,C4,mu,23,0.12,0.512,-86.7335,,
VA,right,C4,mu,24,0.356,1.764,-88.463684,,
VA,right,C4,mu,25,0.92,1.004,-58.487892,,
VA,right,C4,mu,26,0.272,3.248,-88.76388,,
VA,right,C4,mu,27,0.188,2.604,-57.55275,,
VA,right,C4,beta,0,0.34,3.344,-90.4903,7.62,226.24222
VA,right,C4,beta,1,0.0,2.228,-74.055115,7.92,216.36353
VA,right,C4,beta,2,0.528,2.24,-88.685425,6.4,161.57002
VA,right,C4,beta,3,0.2,2.34,-83.7288,7.756,302.61496
VA,right,C4,beta,4,1.036,3.676,-84.88266,7.104,230.14398
VA,right,C4,beta,5,0.464,4.112,-71.91994,6.612,545.2463
VA,right,C4,beta,6,0.468,3.476,-87.51636,7.732,141.05064
VA,right,C4,beta,7,0.032,4.144,-82.12329,7.904,96.04096
VA,right,C4,beta,8,0.192,1.812,-87.25698,8.308,223.39189
VA,right,C4,beta,9,0.176,0.744,-69.62869,6.776,60.304123
VA,right,C4,beta,10,1.88,2.572,-84.81942,6.768,163.39648
VA,right,C4,beta,11,0.252,3.404,-69.14839,6.4,99.381645
VA,right,C4,beta,12,0.904,4.416,-81.718895,7.164,374.4178
VA,right,C4,beta,13,0.0,1.724,-75.89924,7.488,155.40536
VA,right,C4,beta,14,3.924,3.996,-78.01836,6.76,230.54562
VA,right,C4,beta,15,1.172,3.828,-86.018814,7.068,135.75739
VA,right,C4,beta,16,1.664,3.888,-75.90692,7.652,186.82368
VA,right,C4,beta,17,1.252,3.312,-75.99256,7.9,174.50752
VA,right,C4,beta,18,0.656,1.832,-81.87035,7.932,286.4013
VA,right,C4,beta,19,0.0,3.0,-82.138145,6.4,93.04885
VA,right,C4,beta,20,0.912,1.376,-82.54015,8.5,88.62062
VA,right,C4,beta,21,0.0,4.208,-84.31177,7.364,212.99149
VA,right,C4,beta,22,0.576,2.78,-78.798836,7.772,253.02295
VA,right,C4,beta,23,3.424,4.284,-87.10608,7.036,128.44547
VA,right,C4,beta,24,0.724,2.2,-89.297356,7.984,154.90573
VA,right,C4,beta,25,0.384,3.98,-84.63436,6.26,111.95303
VA,right,C4,beta,26,0.364,4.192,-82.982285,7.8,289.0275
VA,right,C4,beta,27,0.076,3.844,-80.68832,7.46,98.28277
